Scenario,TID,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Steps to Execute,Expected Result,Actual Result,Status,Executed,QA Name,Misc (Comments),Priority,Is Automated
Positive,TC_LOGIN_011,Verify 'Forgot password' link redirects correctly [Data set 1],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_012,Verify 'Forgot password' link redirects correctly [Data set 2],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_013,Verify 'Forgot password' link redirects correctly [Data set 3],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_014,Verify 'Forgot password' link redirects correctly [Data set 4],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_015,Verify 'Forgot password' link redirects correctly [Data set 5],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_016,Verify 'Forgot password' link redirects correctly [Data set 6],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_017,Verify 'Forgot password' link redirects correctly [Data set 7],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_018,Verify 'Forgot password' link redirects correctly [Data set 8],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_019,Verify 'Forgot password' link redirects correctly [Data set 9],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_020,Verify 'Forgot password' link redirects correctly [Data set 10],User has a registered Shopify account and is on the shopify.com login page,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,1. Click on 'Forgot your password?' link | 2. Observe redirected page,User is redirected to the password recovery page,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_021,Verify password field masks input characters [Data set 1],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,Yes
Positive,TC_LOGIN_022,Verify password field masks input characters [Data set 2],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,No
Positive,TC_LOGIN_023,Verify password field masks input characters [Data set 3],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,No
Positive,TC_LOGIN_024,Verify password field masks input characters [Data set 4],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,Yes
Positive,TC_LOGIN_025,Verify password field masks input characters [Data set 5],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,No
Positive,TC_LOGIN_026,Verify password field masks input characters [Data set 6],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,No
Positive,TC_LOGIN_027,Verify password field masks input characters [Data set 7],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,Yes
Positive,TC_LOGIN_028,Verify password field masks input characters [Data set 8],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,No
Positive,TC_LOGIN_029,Verify password field masks input characters [Data set 9],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,No
Positive,TC_LOGIN_030,Verify password field masks input characters [Data set 10],User has a registered Shopify account and is on the shopify.com login page,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,1. Enter password in password field | 2. Observe field content,Password characters are masked with dots/asterisks,,Not Executed,No,,,Low,Yes
Positive,TC_LOGIN_031,Verify 'Remember me' checkbox retains session [Data set 1],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_032,Verify 'Remember me' checkbox retains session [Data set 2],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_033,Verify 'Remember me' checkbox retains session [Data set 3],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_034,Verify 'Remember me' checkbox retains session [Data set 4],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_035,Verify 'Remember me' checkbox retains session [Data set 5],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_036,Verify 'Remember me' checkbox retains session [Data set 6],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_037,Verify 'Remember me' checkbox retains session [Data set 7],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_038,Verify 'Remember me' checkbox retains session [Data set 8],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_039,Verify 'Remember me' checkbox retains session [Data set 9],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_040,Verify 'Remember me' checkbox retains session [Data set 10],User has a registered Shopify account and is on the shopify.com login page,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,1. Check 'Remember me' | 2. Log in | 3. Close and reopen browser,User session is retained on next visit,,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_041,Verify login via Chrome browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Chrome | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Chrome | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,Yes
Positive,TC_LOGIN_042,Verify login via Firefox browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Firefox | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Firefox | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,No
Positive,TC_LOGIN_043,Verify login via Safari browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Safari | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Safari | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,No
Positive,TC_LOGIN_044,Verify login via Edge browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Edge | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Edge | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,Yes
Positive,TC_LOGIN_045,Verify login via Mobile Safari (iOS) browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Mobile Safari (iOS) | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Mobile Safari (iOS) | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,No
Positive,TC_LOGIN_046,Verify login via Chrome (Android) browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Chrome (Android) | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Chrome (Android) | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,No
Positive,TC_LOGIN_047,Verify login via Chrome browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Chrome | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Chrome | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,Yes
Positive,TC_LOGIN_048,Verify login via Firefox browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Firefox | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Firefox | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,No
Positive,TC_LOGIN_049,Verify login via Safari browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Safari | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Safari | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,No
Positive,TC_LOGIN_050,Verify login via Edge browser,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login in Edge | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,1. Open shopify.com/login in Edge | 2. Enter valid credentials | 3. Click Log in,User logs in successfully and is redirected to account/dashboard,,Not Executed,No,,,High,Yes
Positive,TC_LOGIN_051,Verify login on Desktop device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Desktop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Desktop,,1. Open shopify.com/login on Desktop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Desktop,,Not Executed,No,,,High,Yes
Positive,TC_LOGIN_052,Verify login on Laptop device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Laptop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Laptop,,1. Open shopify.com/login on Laptop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Laptop,,Not Executed,No,,,High,No
Positive,TC_LOGIN_053,Verify login on Mobile (iOS) device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Mobile (iOS) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (iOS),,1. Open shopify.com/login on Mobile (iOS) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (iOS),,Not Executed,No,,,High,No
Positive,TC_LOGIN_054,Verify login on Mobile (Android) device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Mobile (Android) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (Android),,1. Open shopify.com/login on Mobile (Android) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (Android),,Not Executed,No,,,High,Yes
Positive,TC_LOGIN_055,Verify login on Tablet device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Tablet | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Tablet,,1. Open shopify.com/login on Tablet | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Tablet,,Not Executed,No,,,High,No
Positive,TC_LOGIN_056,Verify login on Desktop device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Desktop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Desktop,,1. Open shopify.com/login on Desktop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Desktop,,Not Executed,No,,,High,No
Positive,TC_LOGIN_057,Verify login on Laptop device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Laptop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Laptop,,1. Open shopify.com/login on Laptop | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Laptop,,Not Executed,No,,,High,Yes
Positive,TC_LOGIN_058,Verify login on Mobile (iOS) device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Mobile (iOS) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (iOS),,1. Open shopify.com/login on Mobile (iOS) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (iOS),,Not Executed,No,,,High,No
Positive,TC_LOGIN_059,Verify login on Mobile (Android) device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Mobile (Android) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (Android),,1. Open shopify.com/login on Mobile (Android) | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Mobile (Android),,Not Executed,No,,,High,No
Positive,TC_LOGIN_060,Verify login on Tablet device,User has a registered Shopify account and is on the shopify.com login page,1. Open shopify.com/login on Tablet | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Tablet,,1. Open shopify.com/login on Tablet | 2. Enter valid credentials | 3. Tap/Click Log in,Login succeeds and layout renders correctly on Tablet,,Not Executed,No,,,High,Yes
Usability,TC_LOGIN_061,Verify tab order of login form fields [Data set 1],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_062,Verify tab order of login form fields [Data set 2],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_063,Verify tab order of login form fields [Data set 3],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_064,Verify tab order of login form fields [Data set 4],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_065,Verify tab order of login form fields [Data set 5],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_066,Verify tab order of login form fields [Data set 6],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_067,Verify tab order of login form fields [Data set 7],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_068,Verify tab order of login form fields [Data set 8],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_069,Verify tab order of login form fields [Data set 9],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Usability,TC_LOGIN_070,Verify tab order of login form fields [Data set 10],User has a registered Shopify account and is on the shopify.com login page,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,1. Click on email field | 2. Press Tab key repeatedly,Focus moves logically: email -> password -> login button,,Not Executed,No,,,Low,No
Security,TC_LOGIN_071,Verify login page is served over HTTPS [Data set 1],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_072,Verify login page is served over HTTPS [Data set 2],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_073,Verify login page is served over HTTPS [Data set 3],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_074,Verify login page is served over HTTPS [Data set 4],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_075,Verify login page is served over HTTPS [Data set 5],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_076,Verify login page is served over HTTPS [Data set 6],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_077,Verify login page is served over HTTPS [Data set 7],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_078,Verify login page is served over HTTPS [Data set 8],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_079,Verify login page is served over HTTPS [Data set 9],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_080,Verify login page is served over HTTPS [Data set 10],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,1. Navigate to shopify.com/login | 2. Inspect browser address bar,Page URL uses HTTPS with a valid SSL certificate,,Not Executed,No,,,High,No
Security,TC_LOGIN_081,Verify account lockout after multiple failed attempts [Data set 1],User has a registered Shopify account and is on the shopify.com login page,1. Enter incorrect password 5 times consecutively,Account is temporarily locked or CAPTCHA is triggered,,1. Enter incorrect password 5 times consecutively,Account is temporarily locked or CAPTCHA is triggered,,Not Executed,No,,,High,No
Security,TC_LOGIN_082,Verify account lockout after multiple failed attempts [Data set 2],User has a registered Shopify account and is on the shopify.com login page,1. Enter incorrect password 5 times consecutively,Account is temporarily locked or CAPTCHA is triggered,,1. Enter incorrect password 5 times consecutively,Account is temporarily locked or CAPTCHA is triggered,,Not Executed,No,,,High,No
