diagnosis_sk,icd10_code,icd10_description,diagnosis_category,chronic_flag,etl_batch_id,etl_loaded_at
50,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
51,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
52,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
53,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
54,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
55,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
56,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
57,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
58,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
59,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
60,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
61,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
62,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
63,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
64,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
65,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
66,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
67,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
68,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
69,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
70,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
71,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
72,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
73,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
74,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
75,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
76,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
77,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
78,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
79,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
80,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
81,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
82,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
83,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
84,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
85,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
86,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
87,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
88,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
89,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
90,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
91,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
92,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
93,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
94,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
95,Z00.00,General adult medical examination,Preventive,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
96,E11.9,Type 2 diabetes mellitus without complications,Endocrine,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
97,I10,Essential (primary) hypertension,Circulatory,Y,BATCH-2026-01-15-001,2026-01-15 03:00:00
98,J45.909,Unspecified asthma,Respiratory,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
99,M54.5,Low back pain,Musculoskeletal,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
100,F32.9,"Major depressive disorder, single episode",Mental,N,BATCH-2026-01-15-001,2026-01-15 03:00:00
